province,rows,mae,mape_pct,figure_path,data_path
Anhui,34,1.9753657198939247,1.1520496960803759,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Anhui_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Anhui_1990_2023_original_vs_pred.csv
Beijing,34,1.3477320760683345,1.7780501545505571,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Beijing_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Beijing_1990_2023_original_vs_pred.csv
Chongqing,34,0.519749826831643,0.5340497875878514,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Chongqing_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Chongqing_1990_2023_original_vs_pred.csv
Fujian,34,1.0684648286419125,0.7108287317027457,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Fujian_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Fujian_1990_2023_original_vs_pred.csv
Gansu,34,1.200654622544739,1.1898650050122492,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Gansu_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Gansu_1990_2023_original_vs_pred.csv
Guangdong,34,5.403305723221096,1.7343231406829276,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Guangdong_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Guangdong_1990_2023_original_vs_pred.csv
Guangxi,34,1.0840950515451149,0.8989672117053819,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Guangxi_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Guangxi_1990_2023_original_vs_pred.csv
Guizhou,34,0.998914533312224,0.9493756532315569,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Guizhou_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Guizhou_1990_2023_original_vs_pred.csv
Hainan,34,0.36405554767395787,2.494983956218778,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Hainan_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Hainan_1990_2023_original_vs_pred.csv
Hebei,34,2.510681797270207,0.5300231650791256,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Hebei_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Hebei_1990_2023_original_vs_pred.csv
Heilongjiang,34,2.6376840128860697,1.2708346515441442,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Heilongjiang_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Heilongjiang_1990_2023_original_vs_pred.csv
Henan,34,4.416155949849991,1.218421960823412,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Henan_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Henan_1990_2023_original_vs_pred.csv
Hubei,34,1.8773380246887554,0.9511207698082595,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Hubei_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Hubei_1990_2023_original_vs_pred.csv
Hunan,34,2.348594232148693,1.3882202137658501,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Hunan_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Hunan_1990_2023_original_vs_pred.csv
InnerMongolia,34,5.082976041800536,1.4507574519176158,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\InnerMongolia_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\InnerMongolia_1990_2023_original_vs_pred.csv
Jiangsu,34,2.9649955309152656,0.9728564849967113,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Jiangsu_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Jiangsu_1990_2023_original_vs_pred.csv
Jiangxi,34,0.8060087514544717,0.6879792976746583,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Jiangxi_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Jiangxi_1990_2023_original_vs_pred.csv
Jilin,34,2.8482783532132614,1.9563812692568165,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Jilin_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Jilin_1990_2023_original_vs_pred.csv
Liaoning,34,4.137548016710244,1.1435564190722536,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Liaoning_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Liaoning_1990_2023_original_vs_pred.csv
Ningxia,34,1.3385440101061692,1.3725161245539357,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Ningxia_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Ningxia_1990_2023_original_vs_pred.csv
Qinghai,34,0.5136849660009063,1.8265060242607074,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Qinghai_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Qinghai_1990_2023_original_vs_pred.csv
Shaanxi,34,1.2349007609343687,0.9298307150201199,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Shaanxi_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Shaanxi_1990_2023_original_vs_pred.csv
Shandong,34,4.006331371450743,0.859982178087461,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Shandong_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Shandong_1990_2023_original_vs_pred.csv
Shanghai,34,0.7578280555804389,0.605708299055237,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Shanghai_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Shanghai_1990_2023_original_vs_pred.csv
Shanxi,34,3.4477305756110197,1.1834590288298132,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Shanxi_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Shanxi_1990_2023_original_vs_pred.csv
Sichuan,34,1.895308650943133,0.9538216537400838,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Sichuan_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Sichuan_1990_2023_original_vs_pred.csv
Tianjin,34,1.5277734273832875,1.8287343594733287,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Tianjin_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Tianjin_1990_2023_original_vs_pred.csv
Xinjiang,34,5.770158739727198,2.5467686257000715,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Xinjiang_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Xinjiang_1990_2023_original_vs_pred.csv
Yunnan,34,1.153959829196256,1.1488929819934288,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Yunnan_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Yunnan_1990_2023_original_vs_pred.csv
Zhejiang,34,1.7034558250794112,0.9266184288560779,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Zhejiang_1990_2023_original_vs_pred.png,C:\Users\13825\Desktop\杂七杂八\统计建模\TJJM\Code\Visual\output\Zhejiang_1990_2023_original_vs_pred.csv
