scenario,year,P,A,S,EI,B,C,CO2
baseline,2022,140975.0,8.536706508246143,0.39945660561669494,0.44976402250108066,1.1259396294291326,0.01960596851132698,10612.201
baseline,2023,141087.82512403227,8.965422903254945,0.39627370136424245,0.4391173203364305,1.1081162308391683,0.01937210288930392,10760.133352503646
baseline,2024,141200.74054427745,9.41566958598909,0.39311615876393896,0.42749651813715633,1.0874559811566085,0.01914102688357208,10878.925417472354
baseline,2025,141313.74633300139,9.888527815049676,0.3899837757319803,0.41618324888523006,1.067180931063285,0.018912707218787322,10999.028948966348
baseline,2026,141342.01190873134,10.323008910414686,0.38726342164924943,0.40665208364613975,1.0500658231916644,0.018593908661499823,11032.432177986022
baseline,2027,141370.2831381418,10.776580190462424,0.38456204355166446,0.3973391951182294,1.0332252019688688,0.018280483873231897,11065.93685011619
baseline,2028,141398.56002236358,11.250080437720156,0.3818795090711581,0.3882395844664722,1.016654665265449,0.017972342272038252,11099.543273431987
baseline,2029,141426.8425625278,11.744385289053637,0.37921568676300405,0.37934836733599564,1.0003498815519056,0.01766939480285143,11133.251756944166
baseline,2030,141455.13075976574,12.260408854969157,0.3765704460993763,0.3706607712303303,0.9843065887664312,0.017371553911744275,11167.062610601919
baseline,2031,141384.4208733306,12.76076563225566,0.3750671728658097,0.36312420257437733,0.9681577830440914,0.017027574097568512,11155.428693203157
baseline,2032,141313.74633300139,13.281542356995635,0.3735699007150104,0.3557408734072359,0.9522739190881016,0.016690405540069127,11143.8068960941
baseline,2033,141243.1071211095,13.823572383053623,0.37207860569059203,0.3485076679421334,0.9366506501906765,0.016359913367327474,11132.197206647754
baseline,2034,141172.50321999512,14.387723074110559,0.3705932639318024,0.34142153374494366,0.9212837009573196,0.01603596537806784,11120.599612250286
baseline,2035,141101.93461200732,14.9748971916307,0.3691138516731417,0.33447948044605097,0.9061688661368357,0.015718431988775157,11109.014100300985
policy_strengthening,2022,140975.0,8.536706508246143,0.39945660561669494,0.44976402250108066,1.1259396294291326,0.01960596851132698,10612.201
policy_strengthening,2023,141087.82512403227,8.961030922155595,0.39611522358136636,0.43918072711623757,1.1087196375476467,0.01936048311385157,10749.963224350997
policy_strengthening,2024,141200.74054427745,9.406446749722724,0.3928017916005594,0.42761998461570316,1.0886406166154925,0.019118071427340188,10858.370322969378
policy_strengthening,2025,141313.74633300139,9.874002357988164,0.38951607587713877,0.41636356049462325,1.0689252287136737,0.018878694966004323,10967.870643842163
policy_strengthening,2026,141342.01190873134,10.303413814720665,0.38666362830561796,0.4068799492797089,1.0522839995648932,0.018544700033775882,10988.502546820306
policy_strengthening,2027,141370.2831381418,10.751499988400539,0.38383206936399505,0.3976123485186605,1.0359018442036363,0.018216614017124242,11009.173260925456
policy_strengthening,2028,141398.56002236358,11.219073025624242,0.3810212460836885,0.38855583809032135,1.019774729320417,0.017894332377686915,11029.882859166068
policy_strengthening,2029,141426.8425625278,11.706980392511198,0.3782310066163139,0.3797056099402973,1.0038986843970708,0.017577752426555703,11050.631414687952
policy_strengthening,2030,141455.13075976574,12.216106410717996,0.37546120022548124,0.3710569655283851,0.9882698007292066,0.01726677329155682,11071.419000774506
policy_strengthening,2031,141384.4208733306,12.709570325924417,0.3738875701209892,0.36356989014583035,0.9724043247230174,0.01690795186401387,11046.160202997637
policy_strengthening,2032,141313.74633300139,13.222967485605297,0.37232053540292936,0.3562338867090732,0.9567935497394818,0.016556587117269924,11020.959031697115
policy_strengthening,2033,141243.1071211095,13.757103083865077,0.3707600684287686,0.3490459069340184,0.9414333868618271,0.016212524093777107,10995.815355401484
policy_strengthening,2034,141172.50321999512,14.312814840248132,0.36920614167182897,0.34200296404392677,0.9263198128158933,0.015875611056165834,10970.729042939241
policy_strengthening,2035,141101.93461200732,14.890974313588728,0.36765872772080227,0.33510213152833795,0.9114488689163185,0.015545699420326173,10945.699963438141
high_growth,2022,140975.0,8.536706508246143,0.39945660561669494,0.44976402250108066,1.1259396294291326,0.01960596851132698,10612.201
high_growth,2023,141087.82512403227,8.987415118831313,0.39659084716674037,0.43863218268459814,1.1060068224423296,0.01939536336626601,10787.548316830897
high_growth,2024,141200.74054427745,9.461919586924223,0.39374564807511914,0.4265524419990947,1.0833197626039963,0.01918702051837748,10934.431289252958
high_growth,2025,141313.74633300139,9.961476251590135,0.39092086084607314,0.4148053721498622,1.0610980730270971,0.018980915666315407,11083.314216340705
high_growth,2026,141342.01190873134,10.421544799465739,0.38846580098142164,0.4049125194444471,1.0423376225692826,0.018692717990832445,11149.028549906005
high_growth,2027,141370.2831381418,10.902861510103422,0.3860261593754069,0.3952556051844379,1.023908861057407,0.01840889617906512,11215.13251183983
high_growth,2028,141398.56002236358,11.406407725137704,0.3836018391983333,0.385829002383193,1.00580592415697,0.01812938378986943,11281.62841229671
high_growth,2029,141426.8425625278,11.933210109246536,0.38119274422861477,0.37662721825423734,0.9880230512162128,0.01785411539091378,11348.51857512837
high_growth,2030,141455.13075976574,12.484342743385895,0.3787987788489557,0.36764489101067105,0.9705545834329835,0.017583026543361635,11415.805337964932
high_growth,2031,141384.4208733306,13.019852117909306,0.37743755491829617,0.35981568136186737,0.9533118172084296,0.017269363501811467,11438.36699141272
high_growth,2032,141313.74633300139,13.578331887919045,0.3760812225836313,0.35215319924069616,0.93637538407647,0.01696129588510991,11460.973234636813
high_growth,2033,141243.1071211095,14.1607673565562,0.37472976426687504,0.34465389408845254,0.9197398417569973,0.01665872387665415,11483.624155762307
high_growth,2034,141172.50321999512,14.768186091026502,0.3733831624531087,0.337314290957624,0.9033998446568559,0.016361549440466513,11506.319843088491
high_growth,2035,141101.93461200732,15.401659735495356,0.37204139969035394,0.3301309889017058,0.8873501421521106,0.016069676289429968,11529.06038508914
policy_lag,2022,140975.0,8.536706508246143,0.39945660561669494,0.44976402250108066,1.1259396294291326,0.01960596851132698,10612.201
policy_lag,2023,141087.82512403227,8.965422903254945,0.39690824678739406,0.4393419041850088,1.1069104956651217,0.019418651772554692,10791.50511401333
policy_lag,2024,141200.74054427745,9.41566958598909,0.39437614537537347,0.4279339108812256,1.085090758909648,0.01923312467047411,10942.454105996003
policy_lag,2025,141313.74633300139,9.888527815049676,0.3918601976654053,0.41682213860707656,1.0637011390551723,0.01904937010677619,11095.514536368391
policy_lag,2026,141342.01190873134,10.323008910414686,0.389671913472931,0.40745859769946785,1.0456452816114303,0.018792052399842548,11172.111774599662
policy_lag,2027,141370.2831381418,10.776580190462424,0.3874958494235985,0.39830540046175517,1.027895914380079,0.018538210524494433,11249.237797402888
policy_lag,2028,141398.56002236358,11.250080437720156,0.3853319372758608,0.38935782170932043,1.0104478348250108,0.018287797529414916,11326.896255211543
policy_lag,2029,141426.8425625278,11.744385289053637,0.38318010916925566,0.3806112424046415,0.9932959287208736,0.01804076709750253,11405.090823659675
policy_lag,2030,141455.13075976574,12.260408854969157,0.38104029762227726,0.37206114727279166,0.9764351686540341,0.017797073537304336,11483.825203755858
policy_lag,2031,141384.4208733306,12.76076563225566,0.3798229175168854,0.36458930278995605,0.9598928499983097,0.017514586285094152,11520.785611379237
policy_lag,2032,141313.74633300139,13.281542356995635,0.3786094268014879,0.35726751014775165,0.9436307837498029,0.01723658286262676,11557.864975161157
policy_lag,2033,141243.1071211095,13.823572383053623,0.3773998130499292,0.3500927559597346,0.9276442220002321,0.016962992099507728,11595.063677959091
policy_lag,2034,141172.50321999512,14.387723074110559,0.3761940638757539,0.3430620873551986,0.9119284972782085,0.016693743955007515,11632.382103862701
policy_lag,2035,141101.93461200732,14.9748971916307,0.3749921669320799,0.33617261076388,0.8964790211865118,0.016428769500130662,11669.820638197845
